#true policy loss value birl, true policy loss value diff brex
0.0331776, 0.0106187
0.0246734, 0.0355036
0.00435192, 0.0258447
0.00288285, 0.0289869
0.00564677, 0.0613115
0.00637379, 0.00715964
0.00920893, 0.10269
0.0460277, 0.105085
0.0147605, 0.137079
0.0138477, 0.0469427
0.0286564, 0.0644977
0.00625132, 0.00625132
0.0386898, 0.104617
0.00823879, 0.0125923
0.0253161, 0.0367148
0.00312048, 0.0349568
0.00497878, 0.0496554
0.00789636, 0.0427465
0.00787277, 0.00787277
0.145583, 0.0217402
0.00348835, 0.059885
0.00843252, 0.0796139
0.00500958, 0.0205897
0.014576, 0.0483114
0.00431056, 0.00425361
0.00484423, 0.00484423
0.00923698, 0.0626955
0.0160605, 0.0176797
0.00601427, 0.00601427
0.00590305, 0.0384466
0.0196087, 0.0246379
0.0997685, 0.0351705
0.00344077, 0.00344077
0.00489823, 0.00527826
0.127396, 0.235203
0.0191714, 0.073192
0.0613729, 0.0666684
0.00937285, 0.00332304
0.00784764, 0.011006
0.0104642, 0.00185764
0.0114225, 0.0114225
0.00349452, 0.00349452
0.00765319, 0.00884659
0.0393388, 0.00654418
0.00527773, 0.00527773
0.0049762, 0.0146269
0.00761812, 0.0802576
0.00535756, 0.0179034
0.0127092, 0.0473222
0.0219839, 0.0712098
0.00283632, 0.0102025
0.00514714, 0.00794512
0.0918524, 0.0078284
0.0060222, 0.0060222
0.0118843, 0.0118843
0.0222368, 0.0221886
0.00511645, 0.0382629
0.0206219, 0.0465818
0.0126909, 0.0377581
0.0455792, 0.0455792
0.014511, 0.00181479
0.00266727, 0.0708052
0.0254104, 0.140461
0.00392133, 0.188443
0.0046168, 0.0215672
0.00513656, 0.008886
0.00858673, 0.00858673
0.00853359, 0.0327663
0.0255261, 0.0166541
0.00349978, 0.00349978
0.00662514, 0.0306503
0.00286556, 0.010016
0.00692478, 0.0694724
0.00860543, 0.0311947
0.0594113, 0.0594113
0.00825162, 0.0320156
0.0173541, 0.0256867
0.0665073, 0.0890275
0.00913143, 0.00913143
0.00803325, 0.0522183
0.0036411, 0.0317052
0.0079094, 0.00803432
0.0197073, 0.274059
0.00777411, 0.014769
0.0076332, 0.0766126
0.00810395, 0.0133971
0.0221671, 0.0396052
0.00965731, 0.0130821
0.0604389, 0.0464819
0.00809337, 0.00796882
0.0253878, 0.0146316
0.0674447, 0.0444191
0.0196018, 0.0196018
0.00404164, 0.00404164
0.013223, 0.0189853
0.0131533, 0.0247445
0.00545567, 0.0948167
0.00767189, 0.0104747
0.00344963, 0.0190821
0.0146701, 0.0637266
