#true policy loss value birl, true policy loss value diff brex
0.0268644, 0.00524032
0.0558701, 0.00430688
0.00435192, 0.00435192
0.00288285, 0.00784149
0.00564677, 3.08725
0.00637379, 0.00637379
0.00851387, 0.0180587
0.0239589, 0.04222
0.0147605, 0.0147605
0.0469427, 0.0138477
0.0485873, 0.00470745
0.00627489, 0.136398
0.0406944, 0.00562161
0.00823879, 0.0231249
0.0253161, 0.00994012
0.00312048, 0.914164
0.00497878, 0.0162526
0.0100072, 0.0427465
0.00787277, 0.0150657
0.0646435, 0.113113
0.00348835, 2.19774
0.00843252, 0.065282
0.00500958, 0.0059194
0.00233964, 0.0383221
0.00405646, 0.00431056
0.003906, 0.00541976
0.00928409, 0.0358775
0.0156806, 0.0160605
0.0225713, 0.214738
0.0207038, 0.0116139
0.0163849, 0.00750345
0.251225, 0.0351705
0.00344077, 0.00344077
0.00489823, 0.00527826
0.147174, 0.159267
0.0224422, 5.33605
0.0512663, 0.00537986
0.0430277, 0.0478126
0.00784764, 0.011006
0.0104642, 0.00510924
0.0114225, 0.0060626
0.00349452, 0.0035176
0.113372, 2.24111
0.00654418, 0.068481
0.00527773, 2.22702
0.00526291, 2.54517
0.0253018, 0.0616693
0.0941722, 0.0178804
0.0127092, 0.0473222
0.0772658, 0.0938575
0.0102025, 0.00283632
0.00373871, 0.00514714
0.0918524, 0.0129417
0.0281804, 0.0060222
0.039825, 0.0118843
0.0221886, 0.0237875
0.00400724, 0.0115724
0.00631172, 0.0108645
0.0377581, 0.00452978
0.0376615, 0.00453312
0.00307511, 0.00273324
0.00266727, 0.00266727
0.0409802, 0.0234369
0.0122755, 1.9668
0.00416508, 1.22338
0.0051055, 0.00884027
0.0870725, 0.00847999
0.00853359, 0.116962
0.025112, 0.0170682
0.00349978, 3.50699
0.0278644, 0.73713
0.010016, 0.00286556
0.0694724, 0.0205986
0.00860543, 1.99286
0.0737886, 0.00483531
0.00825162, 0.0249642
0.0256867, 1.20617
0.0499085, 0.0228413
0.00913143, 0.00583077
0.00803325, 0.00885338
0.0036411, 4.51927
0.294298, 0.917914
0.27582, 0.00372622
0.0698893, 0.00781703
0.0076332, 0.00714231
0.00810395, 0.118325
0.0221671, 0.00710272
0.00777661, 0.00694088
0.0604389, 1.3327
0.00809337, 0.00796882
0.0253878, 0.00752838
0.0970479, 0.568501
0.0196018, 0.0196018
0.0122595, 0.00404164
0.013223, 0.013223
0.0131533, 0.00525488
0.0969331, 0.263641
0.0128589, 0.0137059
0.00361075, 0.498451
0.0452749, 2.77791
