#true policy loss value birl, true policy loss value diff brex
2.40685, 0.00524032
4.97081, 0.00430688
2.70175, 0.00435192
1.1556, 0.00288285
4.19809, 0.00564677
3.3413, 0.00578594
4.47641, 0.00851387
0.019026, 0.00801904
2.30858, 0.00751732
2.47624, 0.00513869
2.28986, 0.00470745
4.22382, 0.00625132
1.96121, 0.00320606
3.16103, 0.00823879
0.688997, 0.00710015
2.73991, 0.00312048
3.63272, 0.00497878
3.72595, 0.00789636
3.99046, 0.00787277
4.12391, 0.00559185
4.53393, 0.00348835
3.13712, 0.00843252
2.9707, 0.00500958
5.33506, 0.00233964
3.74717, 0.00431056
0.755751, 0.0036031
1.36595, 0.00397462
3.00748, 0.00584527
4.91092, 0.00641633
3.28899, 0.00590305
1.37738, 0.00733331
3.89274, 0.00238937
2.18943, 0.00236777
3.65769, 0.00489823
2.2746, 0.00683242
3.82433, 0.00752871
2.72174, 0.00800588
4.46302, 0.00332304
2.99229, 0.00784764
0.714303, 0.00185764
1.98092, 0.00563806
3.27281, 0.0035176
2.55137, 0.00765319
3.43191, 0.00654418
4.09801, 0.00527773
4.77278, 0.00545497
3.85936, 0.00761812
4.48666, 0.00535756
4.12768, 0.0078576
1.15869, 0.00552199
2.34597, 0.00283632
1.92614, 0.00514714
2.32948, 0.00787335
3.71879, 0.0060222
2.48438, 0.00774868
2.08418, 0.00447267
2.21359, 0.00400724
3.98739, 0.00533883
1.30891, 0.0050572
2.10918, 0.00453312
1.71497, 0.00399357
3.14043, 0.00682266
3.24054, 0.00786712
3.74697, 0.00392133
3.41211, 0.00322883
3.44948, 0.00513656
3.02052, 0.00858673
2.48561, 0.00404106
2.27761, 0.00583457
3.52832, 0.00349978
3.31979, 0.00629722
6.38969, 0.00286556
3.62572, 0.00550261
2.55015, 0.00242932
3.09556, 0.00756463
5.04281, 0.00825162
0.55121, 0.00510099
0.500384, 0.00726924
0.500389, 0.00583077
3.85933, 0.00645286
5.10793, 0.0036411
5.27332, 0.00803432
1.20555, 0.00675146
3.17532, 0.00781703
3.54534, 0.00721386
4.28123, 0.00810395
5.13147, 0.00710272
2.82864, 0.00561443
1.5712, 0.0063764
3.63744, 0.00809337
2.7361, 0.00752838
1.94506, 0.00396131
4.69924, 0.00482486
2.31766, 0.00404164
4.43438, 0.00813307
6.34278, 0.00525488
1.96916, 0.00545567
2.69585, 0.0088238
3.1479, 0.0100765
4.27638, 0.00762257
