#true policy loss value birl, true policy loss value diff brex
0.123319, 0.00524032
0.15804, 0.00430688
3.96933, 0.00435192
0.0192788, 0.00288285
0.254927, 0.00564677
0.159222, 0.00578594
3.22227, 0.00851387
0.0649848, 0.00801904
1.0692, 0.00751732
2.44795, 0.00513869
2.65672, 0.00470745
0.00568319, 0.00625132
0.146657, 0.00320606
0.0312856, 0.00823879
0.00664714, 0.00710015
0.554434, 0.00312048
0.255758, 0.00497878
2.5166, 0.00789636
0.0514901, 0.00787277
0.870413, 0.00559185
2.11531, 0.00348835
0.890407, 0.00843252
0.578929, 0.00500958
0.48078, 0.00233964
0.0806254, 0.00431056
0.266074, 0.0036031
1.62194, 0.00397462
0.00961114, 0.00584527
2.0038, 0.00641633
0.00878039, 0.00590305
0.177591, 0.00733331
6.28193, 0.00238937
0.0477369, 0.00236777
0.208121, 0.00489823
4.36231, 0.00683242
5.37932, 0.00752871
1.63447, 0.00800588
0.0705617, 0.00332304
1.95639, 0.00784764
0.00269756, 0.00185764
0.0173466, 0.00563806
0.130272, 0.0035176
2.2823, 0.00765319
3.57094, 0.00654418
0.248325, 0.00527773
3.10214, 0.00545497
0.01905, 0.00761812
0.285599, 0.00535756
5.35938, 0.0078576
0.182657, 0.00552199
0.0661663, 0.00283632
1.30357, 0.00514714
1.05211, 0.00787335
0.071441, 0.0060222
0.0372416, 0.00774868
0.0235093, 0.00447267
0.0385276, 0.00400724
0.0229968, 0.00533883
0.174805, 0.0050572
0.0291828, 0.00453312
0.00120174, 0.00399357
1.44943, 0.00682266
0.165195, 0.00786712
0.161388, 0.00392133
0.0123488, 0.00322883
0.183411, 0.00513656
3.03483, 0.00858673
0.172521, 0.00404106
0.0855627, 0.00583457
0.359682, 0.00349978
0.184353, 0.00629722
6.14582, 0.00286556
0.0558021, 0.00550261
0.15166, 0.00242932
0.972744, 0.00756463
0.00783715, 0.00825162
4.48737, 0.00510099
1.00806, 0.00726924
0.0116174, 0.00583077
1.80428, 0.00645286
0.1272, 0.0036411
1.01596, 0.00803432
0.115946, 0.00675146
0.00428564, 0.00781703
0.012509, 0.00721386
0.0373537, 0.00810395
0.0511099, 0.00710272
0.00784026, 0.00561443
1.24951, 0.0063764
0.203951, 0.00809337
2.52914, 0.00752838
0.004868, 0.00396131
3.76679, 0.00482486
0.00756839, 0.00404164
0.103312, 0.00813307
7.86599, 0.00525488
0.254782, 0.00545567
0.774748, 0.0088238
0.753153, 0.0100765
2.42249, 0.00762257
